file,canonical,decision,reason
po_gipict08_t.tga,po_gipict08_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gishlf01_s.tga,po_gishlf01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gishlf01_t.tga,po_gishlf01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gitable01_t.tga,po_gitable01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gitable03_t.tga,po_gitable03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_givase01_s.tga,po_givase01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_givase01_t.tga,po_givase01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_giwindow01_t.tga,po_giwindow01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_giwindow02_t.tga,po_giwindow02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_giwindow03_s.tga,po_giwindow03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_giwindow03_t.tga,po_giwindow03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_giwindow04_s.tga,po_giwindow04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_giwindow04_t.tga,po_giwindow04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gntfrostjrl_t.tga,po_gntfrostjrl_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gn_m_502_t.tga,po_gn_m_502_h.tga,flip,visual review of structural asymmetry
po_hchimn01_t.tga,po_hchimn01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hchimn05_t.tga,po_hchimn05_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hourglass1_s.tga,po_hourglass1_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hourglass1_t.tga,po_hourglass1_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hshoe04_t.tga,po_hshoe04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_htrough02_m.tga,po_htrough02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_htrough02_s.tga,po_htrough02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_htrough02_t.tga,po_htrough02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_f_503_t.tga,po_hu_f_503_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_f_505_t.tga,po_hu_f_505_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_f_510_t.tga,po_hu_f_510_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_f_511_t.tga,po_hu_f_511_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_f_517_t.tga,po_hu_f_517_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_f_522_t.tga,po_hu_f_522_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_f_m20_t.tga,po_hu_f_m20_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_f_sf44_t.tga,po_hu_f_sf44_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_m_503_t.tga,po_hu_m_503_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_m_507_t.tga,po_hu_m_507_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_m_525_t.tga,po_hu_m_525_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_m_528_t.tga,po_hu_m_528_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_m_529_t.tga,po_hu_m_529_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_m_sf82_m.tga,po_hu_m_sf82_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_m_sf82_s.tga,po_hu_m_sf82_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_hu_m_sf82_t.tga,po_hu_m_sf82_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_kelF6_T.tga,po_kelF6_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_kelM1_T.tga,po_kelM1_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_kelM3_T.tga,po_kelM3_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_kelM4_T.tga,po_kelM4_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_kelM5_T.tga,po_kelM5_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_kelM7_T.tga,po_kelM7_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_-_s.tga,po_letter_-_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_-_t.tga,po_letter_-_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_0_s.tga,po_letter_0_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_0_t.tga,po_letter_0_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_1_s.tga,po_letter_1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_1_t.tga,po_letter_1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_2_t.tga,po_letter_2_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_4_t.tga,po_letter_4_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_6_t.tga,po_letter_6_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_8_t.tga,po_letter_8_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_a1_t.tga,po_letter_a1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_c1_s.tga,po_letter_c1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_c1_t.tga,po_letter_c1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_comm_m.tga,po_letter_comm_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_comm_s.tga,po_letter_comm_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_comm_t.tga,po_letter_comm_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_e1_s.tga,po_letter_e1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_e1_t.tga,po_letter_e1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_i1_s.tga,po_letter_i1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_i1_t.tga,po_letter_i1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_m1_s.tga,po_letter_m1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_m1_t.tga,po_letter_m1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_n1_t.tga,po_letter_n1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_o1_s.tga,po_letter_o1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_o1_t.tga,po_letter_o1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_o2_t.tga,po_letter_o2_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_per_m.tga,po_letter_per_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_per_s.tga,po_letter_per_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_per_t.tga,po_letter_per_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_q1_t.tga,po_letter_q1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_r1_s.tga,po_letter_r1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_r1_t.tga,po_letter_r1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_s1_s.tga,po_letter_s1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_s1_t.tga,po_letter_s1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_v1_s.tga,po_letter_v1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_v1_t.tga,po_letter_v1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_w1_t.tga,po_letter_w1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_x1_t.tga,po_letter_x1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_z1_s.tga,po_letter_z1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_letter_z1_t.tga,po_letter_z1_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mi_gun02_t.tga,po_mi_gun02_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mi_gun03_t.tga,po_mi_gun03_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mm_f_33_s.tga,po_mm_f_33_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mm_f_33_t.tga,po_mm_f_33_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mm_f_34_t.tga,po_mm_f_34_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mm_f_35_t.tga,po_mm_f_35_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mm_f_36_t.tga,po_mm_f_36_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mm_m_25_t.tga,po_mm_m_25_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mm_m_26_t.tga,po_mm_m_26_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mm_m_27_t.tga,po_mm_m_27_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mm_m_28_t.tga,po_mm_m_28_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_mm_m_29_t.tga,po_mm_m_29_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_moncal_f2_l.tga,po_moncal_f2_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_moncal_f2_m.tga,po_moncal_f2_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_moncal_f2_s.tga,po_moncal_f2_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_moncal_f2_t.tga,po_moncal_f2_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_nautM10_T.tga,po_nautM10_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_nautM2_T.tga,po_nautM2_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_npc_03_s.tga,po_npc_03_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_npc_03_t.tga,po_npc_03_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_orccaptain_t.tga,po_orccaptain_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_outsider501_t.tga,po_outsider501_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_bottb_s.tga,po_plc_bottb_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_bottb_t.tga,po_plc_bottb_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_bottcl_t.tga,po_plc_bottcl_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_bottgr_t.tga,po_plc_bottgr_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_bowlp_t.tga,po_plc_bowlp_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_bowlst_s.tga,po_plc_bowlst_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_bowlst_t.tga,po_plc_bowlst_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_bushsm_t.tga,po_plc_bushsm_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chess_t.tga,po_plc_chess_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chsstkp_t.tga,po_plc_chsstkp_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chsstkr_s.tga,po_plc_chsstkr_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chsstkr_t.tga,po_plc_chsstkr_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chsstky_t.tga,po_plc_chsstky_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chswhlp_s.tga,po_plc_chswhlp_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chswhlp_t.tga,po_plc_chswhlp_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chswhlr_s.tga,po_plc_chswhlr_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chswhlr_t.tga,po_plc_chswhlr_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chswhly_s.tga,po_plc_chswhly_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_chswhly_t.tga,po_plc_chswhly_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_claypot_s.tga,po_plc_claypot_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_claypot_t.tga,po_plc_claypot_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_dmirror_s.tga,po_plc_dmirror_m.tga,flip,visual review of structural asymmetry
po_plc_dmirror_t.tga,po_plc_dmirror_m.tga,flip,visual review of structural asymmetry
po_plc_doors01_s.tga,po_plc_doors01_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_doors01_t.tga,po_plc_doors01_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_doors03_t.tga,po_plc_doors03_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_doors04_s.tga,po_plc_doors04_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_doors04_t.tga,po_plc_doors04_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_dschest_s.tga,po_plc_dschest_m.tga,flip,visual review of structural asymmetry
po_plc_dschest_t.tga,po_plc_dschest_m.tga,flip,visual review of structural asymmetry
po_plc_gobgf_t.tga,po_plc_gobgf_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_gobgmt_t.tga,po_plc_gobgmt_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_gobjf_s.tga,po_plc_gobjf_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_gobjf_t.tga,po_plc_gobjf_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_gobsf_t.tga,po_plc_gobsf_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_gobsmt_t.tga,po_plc_gobsmt_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_gobwf_s.tga,po_plc_gobwf_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_gobwf_t.tga,po_plc_gobwf_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_gobwmt_s.tga,po_plc_gobwmt_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_gobwmt_t.tga,po_plc_gobwmt_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_grfflg2_t.tga,po_plc_grfflg2_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_mir1_t.tga,po_plc_mir1_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_mir2_t.tga,po_plc_mir2_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_nwnl_s.tga,po_plc_nwnl_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_nwnl_t.tga,po_plc_nwnl_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_oubliet_t.tga,po_plc_oubliet_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_platest_t.tga,po_plc_platest_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_postmt_t.tga,po_plc_postmt_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_redprtl_t.tga,po_plc_redprtl_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_stnblok_t.tga,po_plc_stnblok_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_tbbasin_s.tga,po_plc_tbbasin_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_tbbasin_t.tga,po_plc_tbbasin_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_tbiburn_s.tga,po_plc_tbiburn_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_tbiburn_t.tga,po_plc_tbiburn_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_tblrndf_s.tga,po_plc_tblrndf_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_tblrndf_t.tga,po_plc_tblrndf_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_tblrndp_s.tga,po_plc_tblrndp_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_tblrndp_t.tga,po_plc_tblrndp_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_tblrnds_s.tga,po_plc_tblrnds_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_tblrnds_t.tga,po_plc_tblrnds_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_u04_s.tga,po_plc_u04_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_u04_t.tga,po_plc_u04_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_v02_s.tga,po_plc_v02_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_v02_t.tga,po_plc_v02_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_wzprtl_s.tga,po_plc_wzprtl_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_plc_wzprtl_t.tga,po_plc_wzprtl_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_a_s.tga,po_pp_a_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_a_t.tga,po_pp_a_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_b_t.tga,po_pp_b_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_c_t.tga,po_pp_c_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_d_t.tga,po_pp_d_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_e_t.tga,po_pp_e_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_f_t.tga,po_pp_f_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_g_s.tga,po_pp_g_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_g_t.tga,po_pp_g_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_h_t.tga,po_pp_h_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_i_t.tga,po_pp_i_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_j_s.tga,po_pp_j_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_j_t.tga,po_pp_j_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_k_s.tga,po_pp_k_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_k_t.tga,po_pp_k_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_l_s.tga,po_pp_l_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_l_t.tga,po_pp_l_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_n_s.tga,po_pp_n_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_n_t.tga,po_pp_n_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_o_s.tga,po_pp_o_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_o_t.tga,po_pp_o_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_p_s.tga,po_pp_p_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_p_t.tga,po_pp_p_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_q_s.tga,po_pp_q_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_q_t.tga,po_pp_q_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_r_t.tga,po_pp_r_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_s_s.tga,po_pp_s_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_s_t.tga,po_pp_s_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_t_s.tga,po_pp_t_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_t_t.tga,po_pp_t_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_u_t.tga,po_pp_u_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_v_t.tga,po_pp_v_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_w_t.tga,po_pp_w_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_x_t.tga,po_pp_x_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_y_m.tga,po_pp_y_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_y_s.tga,po_pp_y_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_y_t.tga,po_pp_y_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_pp_z_t.tga,po_pp_z_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_raven_s.tga,po_raven_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_raven_t.tga,po_raven_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_reaver_t.tga,po_reaver_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_rodF10_T.tga,po_rodF10_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_rodF3_T.tga,po_rodF3_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_rodF4_T.tga,po_rodF4_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_rodF6_T.tga,po_rodF6_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_rodF9_L.tga,po_rodF9_H.tga,flip,different artwork; match canonical facing
po_rodF9_M.tga,po_rodF9_H.tga,flip,different artwork; match canonical facing
po_rodF9_S.tga,po_rodF9_H.tga,flip,different artwork; match canonical facing
po_rodf9_T.tga,po_rodF9_H.tga,flip,different artwork; match canonical facing
po_rodM10_T.tga,po_rodM10_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_rodM5_T.tga,po_rodM5_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_rodM6_T.tga,po_rodM6_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_shack1_t.tga,po_shack1_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_sith01_T.tga,po_sith01_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_skeldwf_t.tga,po_skeldwf_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_skelogr_t.tga,po_skelogr_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_stat_dwarf1_t.tga,po_stat_dwarf1_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_stat_geant1_s.tga,po_stat_geant1_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_stat_geant1_t.tga,po_stat_geant1_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ba01_t.tga,po_swp_ba01_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_bo02_t.tga,po_swp_bo02_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_bo04_s.tga,po_swp_bo04_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_bo04_t.tga,po_swp_bo04_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ch02_s.tga,po_swp_ch02_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ch02_t.tga,po_swp_ch02_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ru01_t.tga,po_swp_ru01_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ru02_t.tga,po_swp_ru02_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ta01_s.tga,po_swp_ta01_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ta01_t.tga,po_swp_ta01_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ta02_s.tga,po_swp_ta02_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ta02_t.tga,po_swp_ta02_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ta03_s.tga,po_swp_ta03_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ta03_t.tga,po_swp_ta03_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ta04_s.tga,po_swp_ta04_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_swp_ta04_t.tga,po_swp_ta04_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_togruF1_T.tga,po_togruF1_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_togruF2_T.tga,po_togruF2_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_togruF7_T.tga,po_togruF7_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_togruF8_T.tga,po_togruF8_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_togruM2_T.tga,po_togruM2_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_togruM3_T.tga,po_togruM3_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_togruM6_T.tga,po_togruM6_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_togruM8_T.tga,po_togruM8_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_trpile01_t.tga,po_trpile01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_trpile02_t.tga,po_trpile02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_trpile06_s.tga,po_trpile06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_trpile06_t.tga,po_trpile06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_trpile08_m.tga,po_trpile08_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_trpile08_s.tga,po_trpile08_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
